OID_,year,Date,Subregion,Habitat,SiteID,SiteName,StationID,Surveyed_all_years,points,Acropora_cervicornis,Acropora_palmata,Agaricia_fragilis,Agaricia_lamarcki,Cladocora_arbuscula,Colpophyllia_natans,Dendrogyra_cylindrus,Dichocoenia_stokesii,Diploria_labyrinthiformis,Eusmilia_fastigiata,Favia_fragum,Helioseris_cucullata,Isophyllia_rigida,Isophyllia_sinuosa,Madracis_aurentenra,Madracis_decactis_complex,Manicina_areolata,Meandrina_meandrites,Millepora_alcicornis,Millepora_complanata,Montastraea_cavernosa,Mussa_angulosa,Mycetophyllia_aliciae,Mycetophyllia_ferox,Mycetophyllia_lamarckiana_complex,Oculina_diffusa,Oculina_robusta,Orbicella_annularis_complex,Phyllangia_americana,Porites_astreoides,Porites_porites_complex,Pseudodiploria_clivosa,Pseudodiploria_strigosa,Scleractinia,Scolymia_sp,Siderastrea_radians,Siderastrea_siderea,Solenastrea_bournoni,Stephanocoenia_intersepta,Undaria_agaricites_complex
653,2000,5/16/2000 0:00:00,MK,HB,14,Long Key,141,N,599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0,0.0,0.01,0.0,0.0,0.0,0.0083,0.0083,0.0,0.0
654,2000,5/16/2000 0:00:00,MK,HB,14,Long Key,142,N,610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098,0.0,0.0,0.0,0.0016,0.0066,0.0,0.0,0.0
655,2000,5/16/2000 0:00:00,MK,HB,14,Long Key,143,N,590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0
656,2000,5/16/2000 0:00:00,MK,HB,14,Long Key,144,N,596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0017,0.0,0.0,0.0034,0.0,0.0,0.0
657,2000,5/15/2000 0:00:00,MK,HB,15,Moser Channel,151,N,598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
658,2000,5/15/2000 0:00:00,MK,HB,15,Moser Channel,152,N,560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0036,0.0,0.0,0.0
659,2000,5/15/2000 0:00:00,MK,HB,15,Moser Channel,153,N,589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,0.0,0.0,0.0
660,2000,5/15/2000 0:00:00,MK,HB,15,Moser Channel,154,N,602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
661,2000,5/9/2000 0:00:00,MK,HB,16,Molasses Keys,161,N,582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662,2000,5/9/2000 0:00:00,MK,HB,16,Molasses Keys,162,N,601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0,0.0
663,2000,5/9/2000 0:00:00,MK,HB,16,Molasses Keys,163,N,569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
664,2000,5/9/2000 0:00:00,MK,HB,16,Molasses Keys,164,N,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,2000,5/13/2000 0:00:00,LK,BCP,18,Content Keys,181,Y,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.0017,0.0017,0.0,0.0,0.0
666,2000,5/13/2000 0:00:00,LK,BCP,18,Content Keys,182,N,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0
667,2000,5/13/2000 0:00:00,LK,BCP,18,Content Keys,183,Y,592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.0,0.0,0.0,0.0051,0.0017,0.0,0.0,0.0,0.0017,0.0
668,2000,5/13/2000 0:00:00,LK,BCP,18,Content Keys,184,Y,590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0017,0.0051,0.0,0.0,0.0,0.0,0.0,0.0
669,2000,8/22/2000 0:00:00,UK,P,30,Turtle,301,Y,594,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.0152,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0438,0.0,0.0017,0.0,0.0,0.0,0.0017,0.0,0.0,0.0051,0.0,0.0,0.0
670,2000,8/22/2000 0:00:00,UK,P,30,Turtle,302,Y,602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0233,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.0,0.0,0.0
671,2000,8/22/2000 0:00:00,UK,P,30,Turtle,303,N,568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123,0.0,0.0176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0106,0.0,0.0,0.0
672,2000,8/22/2000 0:00:00,UK,P,30,Turtle,304,N,545,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,0.0,0.0239,0.0,0.0,0.0,0.0,0.0,0.0,0.0257,0.0,0.0147,0.0018,0.0,0.0,0.0,0.0,0.0,0.0147,0.0,0.0,0.0055
673,2000,8/15/2000 0:00:00,UK,P,32,Porter Patch,321,Y,601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0083,0.0,0.0,0.0116,0.0,0.0,0.0
674,2000,8/15/2000 0:00:00,UK,P,32,Porter Patch,322,Y,587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0102,0.0085,0.0,0.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0102,0.0,0.0017,0.0017,0.0,0.0,0.0,0.0,0.0,0.0273,0.0,0.0,0.0
675,2000,8/15/2000 0:00:00,UK,P,32,Porter Patch,323,Y,580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0
676,2000,8/15/2000 0:00:00,UK,P,32,Porter Patch,324,N,590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119,0.0,0.0,0.0017,0.0,0.0,0.0034,0.0,0.0,0.0085,0.0,0.0,0.0
677,2000,8/16/2000 0:00:00,UK,P,33,Admiral,331,Y,590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2678,0.0,0.0,0.0034,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0
678,2000,8/16/2000 0:00:00,UK,P,33,Admiral,332,Y,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2354,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0
679,2000,8/16/2000 0:00:00,UK,P,33,Admiral,333,Y,551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.216,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0091,0.0,0.0,0.0
680,2000,8/16/2000 0:00:00,UK,P,33,Admiral,334,Y,594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0842,0.0,0.0017,0.0,0.0,0.0,0.0034,0.0,0.0,0.0135,0.0,0.0,0.0
681,2000,5/9/2000 0:00:00,MK,P,34,West Turtle Shoal,341,Y,610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0361,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.0,0.0,0.0
682,2000,5/9/2000 0:00:00,MK,P,34,West Turtle Shoal,342,Y,569,0.0,0.0,0.0,0.0,0.0,0.0141,0.0,0.0035,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0246,0.0,0.0,0.0018,0.0,0.0,0.0,0.0334,0.0,0.0,0.0
683,2000,5/9/2000 0:00:00,MK,P,34,West Turtle Shoal,343,Y,689,0.0,0.0,0.0,0.0,0.0,0.0044,0.0,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0218,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0261,0.0,0.0,0.0044,0.0,0.0,0.0,0.045,0.0,0.016,0.0
684,2000,5/9/2000 0:00:00,MK,P,34,West Turtle Shoal,344,Y,590,0.0,0.0,0.0,0.0,0.0,0.0305,0.0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1102,0.0,0.0051,0.0,0.0051,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0017,0.0153,0.0,0.0,0.0
685,2000,5/11/2000 0:00:00,MK,P,35,Dustan Rocks,351,N,569,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0228,0.0,0.0,0.0299,0.0035,0.0,0.0
686,2000,5/11/2000 0:00:00,MK,P,35,Dustan Rocks,352,Y,583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103,0.0,0.0995,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.0,0.0617,0.0,0.0,0.0,0.0,0.0,0.0,0.0292,0.0,0.0,0.0
687,2000,5/11/2000 0:00:00,MK,P,35,Dustan Rocks,353,Y,590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0322,0.0,0.0,0.0,0.0,0.0,0.0,0.0136,0.0,0.0068,0.0,0.0,0.0,0.0017,0.0,0.0,0.039,0.0,0.0017,0.0
688,2000,5/11/2000 0:00:00,MK,P,35,Dustan Rocks,354,Y,570,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0404,0.0,0.0,0.0,0.0,0.0,0.0,0.0579,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0614,0.0,0.0,0.0
689,2000,5/17/2000 0:00:00,LK,P,36,West Washer Women,361,Y,596,0.0,0.0,0.0,0.0,0.0,0.0604,0.0,0.0,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0302,0.0,0.0,0.0,0.0017,0.0,0.0,0.0336,0.0,0.0134,0.0,0.0,0.0,0.0,0.0,0.0017,0.057,0.0017,0.0,0.0
690,2000,5/17/2000 0:00:00,LK,P,36,West Washer Women,362,N,605,0.0,0.0,0.0,0.0,0.0,0.0264,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.0,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0149,0.0,0.0017,0.0793,0.0,0.0,0.0
691,2000,5/17/2000 0:00:00,LK,P,36,West Washer Women,363,Y,609,0.0,0.0,0.0,0.0,0.0,0.0887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0854,0.0,0.0,0.0066,0.0082,0.0,0.0,0.0296,0.0,0.0099,0.0,0.0,0.0,0.0066,0.0,0.0,0.0854,0.0,0.0016,0.0
692,2000,5/17/2000 0:00:00,LK,P,36,West Washer Women,364,N,547,0.0,0.0,0.0,0.0,0.0,0.0567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463,0.0,0.0,0.0,0.0018,0.0,0.0,0.0146,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0146,0.0,0.0018,0.0037
693,2000,7/14/2000 0:00:00,LK,P,37,Western Head,371,N,599,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.1619,0.0,0.0,0.0,0.0017,0.0117,0.0,0.0451,0.0,0.01,0.0,0.0,0.005,0.005,0.0,0.0017,0.0434,0.0,0.0,0.0
694,2000,7/14/2000 0:00:00,LK,P,37,Western Head,372,Y,574,0.0,0.0,0.0,0.0,0.0,0.0139,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.1603,0.0,0.0,0.0,0.0,0.0052,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0087,0.0,0.0017,0.0122,0.0,0.0,0.0
695,2000,7/14/2000 0:00:00,LK,P,37,Western Head,373,Y,568,0.0,0.0,0.0,0.0,0.0,0.0176,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.162,0.0053,0.0,0.0018,0.0035,0.0018,0.0,0.0158,0.0,0.0,0.0,0.0053,0.0,0.0018,0.0,0.0,0.0352,0.0,0.0,0.0
696,2000,7/14/2000 0:00:00,LK,P,37,Western Head,374,Y,600,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1233,0.0033,0.0,0.0,0.0,0.01,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0167,0.0,0.0017,0.0233,0.0,0.0,0.0
697,2000,7/14/2000 0:00:00,LK,P,38,Cliff Green,381,N,597,0.0,0.0,0.0,0.0,0.0,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0452,0.0,0.0,0.0,0.0,0.0034,0.0034,0.0,0.0,0.0168,0.0,0.0,0.0
698,2000,7/14/2000 0:00:00,LK,P,38,Cliff Green,382,N,567,0.0,0.0,0.0,0.0,0.0,0.0123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0547,0.0,0.0035,0.0,0.0,0.0,0.0,0.0176,0.0,0.0,0.0,0.0,0.0018,0.0018,0.0,0.0,0.0335,0.0,0.0,0.0
699,2000,7/14/2000 0:00:00,LK,P,38,Cliff Green,383,Y,580,0.0,0.0,0.0,0.0,0.0,0.0155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.1224,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.0
700,2000,7/14/2000 0:00:00,LK,P,38,Cliff Green,384,Y,531,0.0,0.0,0.0,0.0,0.0,0.0546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0,0.0546,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0245,0.0,0.0,0.0
701,2000,7/16/2000 0:00:00,LK,BCP,39,Smith Shoal,391,N,596,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0369,0.0,0.0252,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0906,0.0,0.0,0.0017,0.0,0.0,0.0017,0.0117,0.0,0.0017,0.0
702,2000,7/16/2000 0:00:00,LK,BCP,39,Smith Shoal,392,Y,537,0.0,0.0,0.0,0.0,0.0037,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0317,0.0,0.0,0.0,0.0,0.0056,0.0,0.0875,0.0,0.0466,0.0019,0.0,0.0037,0.0037,0.0,0.0,0.0223,0.0,0.0,0.0019
703,2000,7/16/2000 0:00:00,LK,BCP,39,Smith Shoal,393,Y,590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0814,0.0,0.039,0.0,0.0,0.0,0.0186,0.0,0.0,0.0034,0.0,0.0,0.0
704,2000,7/16/2000 0:00:00,LK,BCP,39,Smith Shoal,394,Y,599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0017,0.0,0.0,0.0,0.0,0.015,0.0,0.1285,0.0,0.0601,0.0,0.0,0.005,0.0083,0.0,0.0,0.0017,0.0,0.0,0.0
705,2000,5/17/2000 0:00:00,LK,P,40,Jaap Reef,401,Y,584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
706,2000,5/17/2000 0:00:00,LK,P,40,Jaap Reef,402,Y,590,0.0,0.0,0.0,0.0,0.0,0.0136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1678,0.0,0.0254,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0
707,2000,5/17/2000 0:00:00,LK,P,40,Jaap Reef,403,N,619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1309,0.0,0.0032,0.0,0.0291,0.0016,0.0,0.0,0.0,0.0679,0.0,0.0,0.0
708,2000,5/17/2000 0:00:00,LK,P,40,Jaap Reef,404,Y,580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131,0.0,0.0103,0.0,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
709,2000,8/21/2000 0:00:00,UK,OS,50,Carysfort Shallow,501,Y,590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710,2000,8/21/2000 0:00:00,UK,OS,50,Carysfort Shallow,502,Y,601,0.0,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183,0.0,0.0017,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0
711,2000,8/21/2000 0:00:00,UK,OS,50,Carysfort Shallow,503,Y,572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0
712,2000,8/21/2000 0:00:00,UK,OS,50,Carysfort Shallow,504,N,598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0117,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0
713,2000,8/15/2000 0:00:00,UK,OS,51,Grecian Rocks,511,Y,599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2571,0.0,0.0,0.0,0.0,0.0083,0.0017,0.0,0.0,0.0067,0.0,0.0,0.0
714,2000,8/15/2000 0:00:00,UK,OS,51,Grecian Rocks,512,Y,595,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
715,2000,8/15/2000 0:00:00,UK,OS,51,Grecian Rocks,513,Y,587,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,0.0613,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0119,0.0,0.0,0.0017
716,2000,8/15/2000 0:00:00,UK,OS,51,Grecian Rocks,514,Y,622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0129,0.008,0.0,0.0,0.0016,0.0,0.0,0.008,0.0,0.0,0.0
717,2000,8/18/2000 0:00:00,UK,OS,52,Molasses Shallow,521,Y,526,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057,0.0,0.0152,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019
718,2000,8/18/2000 0:00:00,UK,OS,52,Molasses Shallow,522,Y,555,0.0,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
